pool_id,project,project_name,chain,symbol,tvl_usd,current_apy,apy_base,apy_reward,stablecoin
491f6321-e8fb-4b74-92d8-5c73ac4752e5,curve-dex,Curve,Ethereum,FXN-CVXFXN,1004804,4.58944,0.16,4.42944,False
318b22c1-ea5e-46f9-b432-61d3bfdc8933,euler-v2,Euler V2,Ethereum,FRXUSD,1003058,3.52702,1.81655,1.71047,True
7f56cc86-658b-4c68-8da7-e82d0abc2bda,curve-dex,Curve,Ethereum,USDQ-USDT,1000581,0,0,0,True
0bca93ea-1221-4d10-9684-59a02b487e44,curve-dex,Curve,Ethereum,USDR-USDT,998797,0,0,0,True
59bbffe5-1291-4ecc-b0ac-2b32e70b17e2,pendle,Pendle,Ethereum,UPUSDC,994918,5.30378,5.2232,0.08058,True
c0e88487-b287-49e6-b445-d0501b5a8978,pendle,Pendle,Ethereum,UPUSDC,994918,9.00813,9.00813,,True
bd9ba0cb-743b-4a82-ab91-7e4ff8047492,curve-dex,Curve,Ethereum,OGN-OUSD-OETH,981533,1.14506,0.13,1.01506,False
7bade541-1b21-4b13-8981-bbe4db2d1ff1,euler-v2,Euler V2,Base,WEETH,971987,2e-05,2e-05,,False
fa5191a3-c3e4-4b99-8d94-b537fa5a4681,pendle,Pendle,Ethereum,AGETH,971932,2.96702,2.30932,0.65771,False
36ee266e-eb0c-47ee-9447-f15efaea6dcc,pendle,Pendle,Ethereum,AGETH,971932,3.64295,3.64295,,False
84a453b1-f18f-4432-a7ca-34aac82406ca,euler-v2,Euler V2,Arbitrum,WSTETH,968059,0,0,,False
062770d8-b153-4b2a-b8ad-645815a80bac,pendle,Pendle,Ethereum,SWETH,954359,3.34082,3.34082,,False
3e99314b-6e1d-4191-a4e6-35ff44f4b21e,pendle,Pendle,Ethereum,SWETH,954359,2.92712,2.84016,0.08695,False
c27e64f8-21d5-47a5-be7a-7d6382eb43a8,curve-dex,Curve,Ethereum,MUSD-CRV2POOL,947631,15.03965,0.41,14.62965,False
c5af4fbd-932d-40c5-8ee4-6b45ee691b76,aave-v3,Aave V3,Ethereum,MKR,946017,5e-05,5e-05,,False
599d01d6-44fb-41a8-a745-9db1083716d4,pendle,Pendle,Ethereum,ASDPENDLE,931858,22.93639,22.93639,,True
521d3509-0d7b-4516-b537-0561a829567e,pendle,Pendle,Ethereum,ASDPENDLE,931858,34.1526,30.12502,4.02758,True
544cb1d2-7945-4e98-8230-c51160d27d5a,curve-dex,Curve,Ethereum,WETH-SDT,926145,6.10714,0.13,5.97714,False
64e9da6c-38d7-4af3-a110-bfbd541de502,pendle,Pendle,Ethereum,MSYRUPUSDP,924835,7.98974,7.98974,,True
736ebe53-bc6d-4ff5-b1a4-0a41c5488270,pendle,Pendle,Ethereum,MSYRUPUSDP,924835,6.85046,6.51839,0.33208,True
