date,symbol,ticker,open,high,low,close,volume
2023-10-05,SOL,SOL-USD,23.15,23.72,22.63,22.69,361288781
2023-10-06,SOL,SOL-USD,22.69,23.71,22.69,23.42,402665506
2023-10-07,SOL,SOL-USD,23.42,24.1,23.12,23.29,278403509
2023-10-08,SOL,SOL-USD,23.29,23.61,23.14,23.25,190670414
2023-10-09,SOL,SOL-USD,23.24,23.35,21.81,22.12,356967743
2023-10-10,SOL,SOL-USD,22.12,22.46,21.74,22.11,241087146
2023-10-11,SOL,SOL-USD,22.11,22.39,21.68,22.01,278925381
2023-10-12,SOL,SOL-USD,22.01,22.02,21.07,21.3,283320977
2023-10-13,SOL,SOL-USD,21.3,22.16,21.13,21.83,269268807
2023-10-14,SOL,SOL-USD,21.83,22.2,21.82,22.01,174004594
2023-10-15,SOL,SOL-USD,22.01,22.14,21.71,21.92,178940996
2023-10-16,SOL,SOL-USD,21.92,24.41,21.92,23.98,726713710
2023-10-17,SOL,SOL-USD,23.98,24.49,23.64,23.96,520830665
2023-10-18,SOL,SOL-USD,23.96,24.3,23.42,23.43,362606644
2023-10-19,SOL,SOL-USD,23.43,25.39,23.26,24.94,663249208
2023-10-20,SOL,SOL-USD,24.94,27.32,24.77,27.03,910991447
2023-10-21,SOL,SOL-USD,27.03,30.14,26.71,29.39,1160814433
2023-10-22,SOL,SOL-USD,29.38,29.97,28.21,29.04,665340924
2023-10-23,SOL,SOL-USD,29.26,32.47,28.9,31.85,1581590969
2023-10-24,SOL,SOL-USD,31.85,32.36,29.7,30.15,1450364573
2023-10-25,SOL,SOL-USD,30.15,33.69,30.06,32.46,1458706203
2023-10-26,SOL,SOL-USD,32.46,33.22,30.8,32.78,1015617285
2023-10-27,SOL,SOL-USD,32.78,33.3,31.53,31.74,870812666
2023-10-28,SOL,SOL-USD,31.74,32.48,31.51,31.65,380462073
2023-10-29,SOL,SOL-USD,31.65,33.13,31.43,32.82,507672244
2023-10-30,SOL,SOL-USD,32.82,35.17,32.39,34.96,1099930941
2023-10-31,SOL,SOL-USD,34.96,38.55,34.91,38.52,1577034191
2023-11-01,SOL,SOL-USD,38.51,46.25,37.96,41.46,3630725002
2023-11-02,SOL,SOL-USD,41.39,44.49,38.98,40.21,2583692673
2023-11-03,SOL,SOL-USD,40.21,40.23,38.22,39.52,1755955299
2023-11-04,SOL,SOL-USD,39.52,42.7,39.17,42.35,1454107898
2023-11-05,SOL,SOL-USD,42.37,42.8,40.38,41.24,884855278
2023-11-06,SOL,SOL-USD,41.24,42.16,39.83,42.13,1010459088
2023-11-07,SOL,SOL-USD,42.14,44.43,40.32,43.09,1780187159
2023-11-08,SOL,SOL-USD,43.09,43.81,42.39,43.19,1009177437
2023-11-09,SOL,SOL-USD,43.18,48.7,42.61,45.44,2830770419
2023-11-10,SOL,SOL-USD,45.44,57.35,45.22,56.64,3795204638
2023-11-11,SOL,SOL-USD,56.64,63.42,54.04,56.1,4182963132
2023-11-12,SOL,SOL-USD,56.13,61.71,54.94,56.15,2987356952
2023-11-13,SOL,SOL-USD,56.18,59.71,51.91,51.91,2942685126
2023-11-14,SOL,SOL-USD,51.9,57.73,51.71,56.84,3195616616
2023-11-15,SOL,SOL-USD,56.84,66.87,56.31,65.53,3793937162
2023-11-16,SOL,SOL-USD,65.54,67.99,56.81,57.87,3922608772
2023-11-17,SOL,SOL-USD,57.92,60.42,54.55,58.42,3185454735
2023-11-18,SOL,SOL-USD,58.39,59.28,55.06,58.51,1942321169
2023-11-19,SOL,SOL-USD,58.52,62.02,56.88,61.39,1998656461
2023-11-20,SOL,SOL-USD,61.37,61.37,56.35,56.53,1937313546
2023-11-21,SOL,SOL-USD,56.54,57.37,51.56,52.0,2440890238
2023-11-22,SOL,SOL-USD,52.0,58.79,51.74,57.59,1985653842
2023-11-23,SOL,SOL-USD,57.58,59.47,56.29,56.6,1379316733
2023-11-24,SOL,SOL-USD,56.58,58.69,56.35,56.87,1146346831
2023-11-25,SOL,SOL-USD,56.87,59.65,56.33,58.85,1183793273
2023-11-26,SOL,SOL-USD,58.85,58.96,56.51,57.64,871154750
2023-11-27,SOL,SOL-USD,57.63,58.02,53.71,55.06,1237763215
2023-11-28,SOL,SOL-USD,55.06,58.61,54.09,58.19,1412314015
2023-11-29,SOL,SOL-USD,58.19,61.65,57.86,59.25,1941361674
2023-11-30,SOL,SOL-USD,59.25,61.44,58.95,59.24,1263841021
2023-12-01,SOL,SOL-USD,59.24,61.76,58.78,59.8,1376669760
2023-12-02,SOL,SOL-USD,59.8,63.83,59.77,63.83,1346327049
2023-12-03,SOL,SOL-USD,63.82,65.4,62.42,63.04,1368876645
2023-12-04,SOL,SOL-USD,63.04,65.13,60.28,61.53,2211865569
2023-12-05,SOL,SOL-USD,61.53,62.54,59.25,60.99,1693517649
2023-12-06,SOL,SOL-USD,60.98,66.38,60.98,61.9,3030993886
2023-12-07,SOL,SOL-USD,61.93,69.3,61.87,67.84,3002455075
2023-12-08,SOL,SOL-USD,67.85,75.13,67.84,75.0,3612712432
2023-12-09,SOL,SOL-USD,74.99,77.5,72.04,72.26,2893248364
2023-12-10,SOL,SOL-USD,72.27,74.72,70.92,74.71,1849363354
2023-12-11,SOL,SOL-USD,74.71,74.84,67.22,70.37,3729540309
2023-12-12,SOL,SOL-USD,70.34,72.34,65.97,68.54,2366453484
2023-12-13,SOL,SOL-USD,68.53,72.35,64.37,70.77,2414610075
2023-12-14,SOL,SOL-USD,70.75,76.18,69.86,75.62,2464938440
2023-12-15,SOL,SOL-USD,75.64,79.15,72.37,72.37,2821390652
2023-12-16,SOL,SOL-USD,72.43,77.08,71.57,73.47,1781972898
2023-12-17,SOL,SOL-USD,73.47,74.72,70.82,71.0,1552380672
2023-12-18,SOL,SOL-USD,70.93,75.38,67.33,74.35,2281865174
2023-12-19,SOL,SOL-USD,74.35,76.27,72.01,72.99,1900875405
2023-12-20,SOL,SOL-USD,72.99,83.96,72.99,82.19,3745738278
2023-12-21,SOL,SOL-USD,82.19,95.32,81.24,93.85,4711493441
2023-12-22,SOL,SOL-USD,93.86,99.12,90.8,98.0,5284203995
2023-12-23,SOL,SOL-USD,98.0,109.51,93.11,107.59,3957434568
2023-12-24,SOL,SOL-USD,107.73,117.38,107.73,112.49,6365529251
2023-12-25,SOL,SOL-USD,112.56,125.19,108.9,121.15,5951791518
2023-12-26,SOL,SOL-USD,121.08,121.14,104.73,112.68,6117657160
2023-12-27,SOL,SOL-USD,112.65,115.03,105.43,107.02,4267938569
2023-12-28,SOL,SOL-USD,107.02,109.42,97.67,102.1,4492625126
2023-12-29,SOL,SOL-USD,102.07,109.67,100.06,106.31,4445797973
2023-12-30,SOL,SOL-USD,106.3,107.33,101.07,101.85,1863177830
2023-12-31,SOL,SOL-USD,101.84,105.13,99.89,101.51,1748630533
2024-01-01,SOL,SOL-USD,101.51,109.51,101.51,109.51,2157671990
2024-01-02,SOL,SOL-USD,109.55,116.88,106.39,106.61,3782057553
2024-01-03,SOL,SOL-USD,106.62,109.85,92.92,98.59,5472216595
2024-01-04,SOL,SOL-USD,98.59,107.98,97.11,105.08,3272723247
2024-01-05,SOL,SOL-USD,105.05,105.24,95.94,99.98,3022127826
2024-01-06,SOL,SOL-USD,99.99,100.04,92.02,93.86,2235902092
2024-01-07,SOL,SOL-USD,93.86,96.69,88.22,89.28,2288061692
2024-01-08,SOL,SOL-USD,89.28,99.76,85.65,97.79,4152448360
2024-01-09,SOL,SOL-USD,97.82,103.8,95.89,99.41,4070131683
2024-01-10,SOL,SOL-USD,99.38,105.08,92.56,102.03,4216429514
2024-01-11,SOL,SOL-USD,102.1,106.94,98.41,99.91,4174026719
2024-01-12,SOL,SOL-USD,99.91,100.25,88.31,91.72,2868799888
2024-01-13,SOL,SOL-USD,91.76,96.92,89.75,95.73,1880329065
2024-01-14,SOL,SOL-USD,95.73,102.17,93.89,94.13,2736734725
2024-01-15,SOL,SOL-USD,94.04,96.82,93.24,94.49,1755858499
2024-01-16,SOL,SOL-USD,94.44,98.6,94.4,97.63,1806576879
2024-01-17,SOL,SOL-USD,97.62,102.43,97.06,102.06,3220344763
2024-01-18,SOL,SOL-USD,102.03,102.92,92.14,94.25,2684524713
2024-01-19,SOL,SOL-USD,94.25,95.16,87.48,93.39,2631067383
2024-01-20,SOL,SOL-USD,93.39,94.03,90.49,92.57,1204443546
2024-01-21,SOL,SOL-USD,92.59,93.71,90.85,90.85,894963197
2024-01-22,SOL,SOL-USD,90.9,91.64,82.66,83.62,2662287481
2024-01-23,SOL,SOL-USD,83.62,85.84,79.07,84.27,2990436327
2024-01-24,SOL,SOL-USD,84.29,89.27,83.42,88.73,2352477736
2024-01-25,SOL,SOL-USD,88.74,89.38,85.27,86.89,1674093024
2024-01-26,SOL,SOL-USD,86.89,93.53,86.15,92.44,2027305107
2024-01-27,SOL,SOL-USD,92.39,94.44,90.84,94.16,1256585307
2024-01-28,SOL,SOL-USD,94.18,99.38,93.54,95.94,2425625612
2024-01-29,SOL,SOL-USD,95.94,101.77,95.18,101.57,2604890575
2024-01-30,SOL,SOL-USD,101.57,106.21,101.11,101.47,3328090833
2024-01-31,SOL,SOL-USD,101.45,102.55,96.1,97.03,3814467068
2024-02-01,SOL,SOL-USD,97.02,97.94,93.38,97.85,2951395444
2024-02-02,SOL,SOL-USD,97.83,102.41,97.57,100.44,2574044077
2024-02-03,SOL,SOL-USD,100.45,101.06,96.81,97.88,1349320819
2024-02-04,SOL,SOL-USD,97.89,98.46,95.27,95.48,1304106726
2024-02-05,SOL,SOL-USD,95.47,98.54,94.29,95.55,1635327054
2024-02-06,SOL,SOL-USD,95.55,97.79,93.28,96.86,1699997346
2024-02-07,SOL,SOL-USD,96.86,101.24,94.72,100.98,1733607189
